name,Type,a (AU) ,e ,Value ($),Est. Profit ($),Δv (km/s),MOID (AU) ,Group
Baucis,L,2.38,0.114,>100 trillion,>100 trillion,,1.09701,MBA
Arsinoe,Ch,2.594,0.199,>100 trillion,>100 trillion,10.01,1.10866,MBA
Marghanna,Ch,2.729,0.322,>100 trillion,>100 trillion,9.925,0.893385,MBA
Happelia,Xc,2.751,0.192,>100 trillion,>100 trillion,9.576,1.21505,MBA
Semphyra,Xe,2.806,0.2,>100 trillion,57.34 trillion,9.484,1.26255,MBA
Admete,C,2.743,0.223,>100 trillion,>100 trillion,9.65,1.15119,MBA
Burnaby,C,2.701,0.173,>100 trillion,68.18 trillion,9.669,1.26071,MBA
Libera,X,2.654,0.247,>100 trillion,>100 trillion,9.953,1.04207,MBA
Metcalfia,X,2.622,0.131,>100 trillion,>100 trillion,9.826,1.30261,MBA
Aeolia,Xe,2.741,0.16,>100 trillion,>100 trillion,9.574,1.28503,MBA
Pariana,M,2.612,0.166,>100 trillion,>100 trillion,9.923,1.22027,MBA
Milani,Xe,2.703,0.14,>100 trillion,31.91 trillion,9.638,1.33239,MBA
Isis,L,2.442,0.223,8.07 billion,521.52 million,,0.899544,MBA
Ellenbeth,Ch,2.789,0.23,>100 trillion,>100 trillion,9.586,1.1509,MBA
Fujiwara,Ch,2.772,0.225,>100 trillion,>100 trillion,9.616,1.15482,MBA
Aethra,Xe,2.608,0.39,>100 trillion,26.67 trillion,,0.772763,MCA
Pien,B,2.728,0.188,>100 trillion,>100 trillion,9.659,1.22618,MBA
Odessa,Xk,2.758,0.265,>100 trillion,42.07 trillion,9.734,1.02971,MBA
Colchis,Xk,2.665,0.116,>100 trillion,>100 trillion,9.721,1.35029,MBA
Ryabov,B,2.703,0.165,>100 trillion,79.02 trillion,9.689,1.27118,MBA
Hertha,Xk,2.428,0.207,1.50 billion,96.79 million,,0.912862,MBA
Merlin,Ch,2.781,0.218,>100 trillion,>100 trillion,9.601,1.19197,MBA
Lubomir,Ch,2.768,0.206,>100 trillion,>100 trillion,9.616,1.18714,MBA
Priska,Ch,2.669,0.183,>100 trillion,>100 trillion,9.819,1.18173,MBA
Lotis,C,2.607,0.123,>100 trillion,>100 trillion,9.922,1.29235,MBA
Latvia,L,2.645,0.171,>100 trillion,>100 trillion,9.875,1.23005,MBA
Comas Sola,B,2.779,0.235,>100 trillion,>100 trillion,9.647,1.14865,MBA
Clarissa,C,2.405,0.111,>100 trillion,>100 trillion,,1.15173,MBA
van Altena,Cb,2.715,0.182,>100 trillion,>100 trillion,9.706,1.21634,MBA
Lova,Ch,2.702,0.149,>100 trillion,>100 trillion,9.691,1.31579,MBA
Nezarka,X,2.621,0.144,>100 trillion,>100 trillion,9.915,1.23004,MBA
Lene,C,2.697,0.151,>100 trillion,>100 trillion,9.715,1.27445,MBA
Nysa,Xc,2.423,0.148,>100 trillion,>100 trillion,,1.08194,MBA
Polana,B,2.419,0.135,>100 trillion,>100 trillion,,1.08429,MBA
Chloe,K,2.559,0.112,>100 trillion,>100 trillion,10.125,1.28817,MBA
Hedera,X,2.716,0.158,>100 trillion,24.36 trillion,9.684,1.28529,MBA
Recogne,C,2.713,0.174,>100 trillion,>100 trillion,9.714,1.24091,MBA
Phillipadams,B,2.711,0.225,>100 trillion,>100 trillion,9.821,1.13833,MBA
Chodas,Ch,2.735,0.209,>100 trillion,61.74 trillion,9.728,1.17049,MBA
Tinette,X,2.721,0.273,>100 trillion,>100 trillion,9.918,1.0168,MBA
Rufino,C,2.555,0.202,>100 trillion,>100 trillion,10.413,1.0906,MBA
Siberia,Xk,2.545,0.133,>100 trillion,56.53 trillion,10.262,1.24773,MBA
Ruvuma,C,2.751,0.212,>100 trillion,>100 trillion,9.703,1.17218,MBA
Paulharris,C,2.788,0.467,>100 trillion,34.29 trillion,11.27,0.72783,MCA
Lucidor,C,2.692,0.143,>100 trillion,>100 trillion,9.749,1.32183,MBA
Bezruc,C,2.666,0.195,>100 trillion,>100 trillion,9.92,1.1372,MBA
Madeline,D,2.626,0.162,3.65 billion,284.51 million,9.951,1.22269,MBA
1980 VX1,Ch,2.787,0.207,>100 trillion,83.26 trillion,9.634,1.23968,MBA
Fortuna,Ch,2.443,0.158,73.89 billion,4.77 billion,,1.06213,MBA
Nina,X,2.663,0.228,>100 trillion,>100 trillion,10.033,1.07436,MBA
Harryford,C,2.739,0.198,>100 trillion,>100 trillion,9.735,1.21435,MBA
Lutetia,Xk,2.435,0.163,1.70 billion,110.03 million,,1.02791,MBA
Pax,K,2.589,0.31,>100 trillion,>100 trillion,11.077,0.962939,MBA
Iphigenia,Ch,2.434,0.128,16.98 billion,1.10 billion,,1.11377,MBA
1992 ST1,Cb,2.79,0.209,>100 trillion,>100 trillion,9.644,1.19228,MBA
Octavia,X,2.761,0.25,>100 trillion,>100 trillion,9.795,1.11086,MBA
Soderblom,Ch,2.747,0.149,>100 trillion,>100 trillion,9.656,1.34961,MBA
Murray,X,2.784,0.196,>100 trillion,63.74 trillion,9.641,1.24363,MBA
Montague,C,2.569,0.024,>100 trillion,>100 trillion,10.096,1.52901,MBA
Faina,Ch,2.551,0.153,>100 trillion,>100 trillion,10.389,1.20747,MBA
Dabu,Ch,2.786,0.215,>100 trillion,>100 trillion,9.676,1.21705,MBA
Jacqueline,C,2.605,0.079,>100 trillion,>100 trillion,9.997,1.41657,MBA
1989 BD,C,2.699,0.152,>100 trillion,47.67 trillion,9.788,1.31704,MBA
Flammario,B,2.736,0.285,>100 trillion,>100 trillion,10.004,1.03017,MBA
Hurban,Xk,2.726,0.161,>100 trillion,>100 trillion,9.74,1.28389,MBA
Beatrix,X,2.432,0.082,>100 trillion,>100 trillion,,1.23261,MBA
1991 PK11,D,2.745,0.177,696.64 million,55.73 million,9.686,1.28204,MBA
Vala,Xc,2.432,0.068,>100 trillion,>100 trillion,,1.2585,MBA
Pawlowia,K,2.706,0.112,>100 trillion,>100 trillion,9.748,1.40837,MBA
Georgia,X,2.727,0.157,>100 trillion,>100 trillion,9.75,1.29141,MBA
Marceline,Xe,2.786,0.222,>100 trillion,36.74 trillion,9.72,1.18501,MBA
1987 YH,Ch,2.779,0.203,>100 trillion,>100 trillion,9.707,1.2456,MBA
Fiducia,C,2.678,0.113,>100 trillion,>100 trillion,9.845,1.37235,MBA
Tikhov,Cb,2.71,0.149,>100 trillion,>100 trillion,9.805,1.30583,MBA
Irkutsk,X,2.781,0.168,>100 trillion,>100 trillion,9.666,1.30418,MBA
Komarov,Ch,2.785,0.191,>100 trillion,>100 trillion,9.695,1.2361,MBA
Johnpearse,Ch,2.801,0.206,>100 trillion,>100 trillion,9.689,1.25632,MBA
Janacek,X,2.715,0.112,>100 trillion,9.65 trillion,9.772,1.42625,MBA
Parks,Ch,2.712,0.399,>100 trillion,8.36 trillion,11.601,0.81944,MCA
Eva,X,2.632,0.346,>100 trillion,60.10 trillion,,0.880177,MBA
Arachne,C,2.625,0.07,>100 trillion,>100 trillion,10.044,1.45597,MBA
Woltjer,Ch,2.785,0.191,>100 trillion,>100 trillion,9.729,1.25114,MBA
Akan,C,2.796,0.199,>100 trillion,>100 trillion,9.717,1.26854,MBA
Aspasia,Xc,2.576,0.073,>100 trillion,>100 trillion,10.29,1.37686,MBA
Antoku,X,2.741,0.146,>100 trillion,58.10 trillion,9.771,1.34416,MBA
Moira,Ch,2.735,0.159,>100 trillion,>100 trillion,9.82,1.29796,MBA
Viipuri,C,2.693,0.081,>100 trillion,>100 trillion,9.846,1.49143,MBA
Grissom,C,2.748,0.163,>100 trillion,>100 trillion,9.795,1.3131,MBA
Kodaira,B,2.755,0.417,>100 trillion,43.86 trillion,11.709,0.818484,MCA
Cora,X,2.723,0.215,>100 trillion,>100 trillion,9.996,1.16808,MBA
Zdenekhorsky,C,2.741,0.128,>100 trillion,>100 trillion,9.78,1.3882,MBA
Clasien,C,2.774,0.18,>100 trillion,>100 trillion,9.768,1.27306,MBA
Barks,C,2.721,0.13,>100 trillion,>100 trillion,9.854,1.36135,MBA
Lobachevskij,L,2.698,0.078,>100 trillion,44.89 trillion,9.871,1.47048,MBA
Canterbury,Ch,2.79,0.181,>100 trillion,>100 trillion,9.754,1.27186,MBA
Alsatia,C,2.64,0.162,>100 trillion,>100 trillion,10.247,1.22869,MBA
Kemi,C,2.773,0.417,>100 trillion,>100 trillion,11.594,0.875135,MCA
Thirouin,K,2.717,0.093,>100 trillion,61.14 trillion,9.844,1.45531,MBA
Pia,C,2.693,0.111,>100 trillion,>100 trillion,9.937,1.41089,MBA
Henan,L,2.699,0.086,>100 trillion,85.45 trillion,9.893,1.47927,MBA
Scania,K,2.716,0.106,>100 trillion,>100 trillion,9.864,1.42591,MBA
Haug,C,2.92,0.222,>100 trillion,>100 trillion,9.563,1.26603,MBA
Notburga,Xc,2.573,0.243,>100 trillion,>100 trillion,11.655,0.997854,MBA
Gentelec,D,2.74,0.121,525.91 million,41.68 million,9.773,1.42645,MBA
Kimura,Ch,2.793,0.178,>100 trillion,59.67 trillion,9.764,1.31533,MBA
Lugano,Ch,2.677,0.136,>100 trillion,>100 trillion,10.05,1.3483,MBA
Svea,C,2.477,0.025,>100 trillion,>100 trillion,,1.43261,MBA
Luisa,K,2.774,0.292,>100 trillion,>100 trillion,10.145,1.02142,MBA
Tetsuya,Ch,2.785,0.173,>100 trillion,>100 trillion,9.782,1.32841,MBA
Lena,X,2.685,0.148,>100 trillion,>100 trillion,10.055,1.2851,MBA
Benfranklin,B,2.801,0.194,>100 trillion,>100 trillion,9.783,1.26678,MBA
Namaqua,X,2.782,0.16,>100 trillion,>100 trillion,9.775,1.33282,MBA
Lavrov,L,2.73,0.103,>100 trillion,85.51 trillion,9.852,1.4462,MBA
Charlois,C,2.672,0.148,>100 trillion,>100 trillion,10.14,1.29105,MBA
Kiladze,L,2.694,0.078,>100 trillion,24.30 trillion,9.954,1.46752,MBA
Hestia,Xc,2.526,0.172,7.03 billion,453.77 million,,1.08671,MBA
Delila,B,2.75,0.161,>100 trillion,>100 trillion,9.893,1.32405,MBA
Albitskij,Ch,2.662,0.133,>100 trillion,>100 trillion,10.167,1.33395,MBA
Subbotina,Cg,2.787,0.138,>100 trillion,>100 trillion,9.76,1.38745,MBA
Rimskij-Korsakov,Cb,2.797,0.178,>100 trillion,>100 trillion,9.797,1.29059,MBA
Lujiaxi,L,2.732,0.104,>100 trillion,>100 trillion,9.871,1.44814,MBA
Alvarez,B,2.776,0.405,>100 trillion,99.35 trillion,11.704,0.834209,MCA
Walbeck,Cg,2.785,0.29,>100 trillion,>100 trillion,10.171,1.00435,MBA
Kennoguchi,Ch,2.792,0.172,>100 trillion,>100 trillion,9.809,1.32932,MBA
Izu,Ch,2.675,0.16,>100 trillion,>100 trillion,10.197,1.23778,MBA
Pasteur,C,2.694,0.116,>100 trillion,>100 trillion,10.033,1.40058,MBA
Sonneberga,X,2.682,0.06,>100 trillion,>100 trillion,10.014,1.52197,MBA
MIT,Ch,2.682,0.14,>100 trillion,>100 trillion,10.122,1.32655,MBA
Melanie,C,2.698,0.14,>100 trillion,>100 trillion,10.066,1.31711,MBA
Karl Marx,C,2.797,0.181,>100 trillion,>100 trillion,9.826,1.32369,MBA
Demokritos,Ch,2.796,0.167,>100 trillion,>100 trillion,9.807,1.32881,MBA
Julia,K,2.55,0.185,45.43 billion,2.93 billion,,1.10012,MBA
Euryanthe,Cb,2.727,0.15,>100 trillion,>100 trillion,10.008,1.30714,MBA
Whitehouse,Cg,2.8,0.152,>100 trillion,82.76 trillion,9.792,1.39022,MBA
Gunma,Ch,2.785,0.167,>100 trillion,>100 trillion,9.856,1.34058,MBA
Megaira,C,2.8,0.206,>100 trillion,>100 trillion,9.892,1.24714,MBA
Vinifera,X,2.618,0.206,>100 trillion,>100 trillion,10.895,1.06646,MBA
Russia,C,2.552,0.175,>100 trillion,>100 trillion,,1.10881,MBA
Okadanoboru,Cgh,2.698,0.192,>100 trillion,>100 trillion,10.244,1.22318,MBA
Sumeria,Ch,2.781,0.158,>100 trillion,>100 trillion,9.86,1.35524,MBA
Dudu,Xc,2.746,0.278,>100 trillion,>100 trillion,10.373,0.990992,MBA
Campania,Ch,2.689,0.078,>100 trillion,>100 trillion,10.063,1.48865,MBA
Elba,Xc,2.736,0.142,>100 trillion,45.22 trillion,10,1.33637,MBA
Emita,Ch,2.741,0.157,>100 trillion,>100 trillion,10.012,1.32166,MBA
1988 FF,Ch,2.769,0.168,>100 trillion,>100 trillion,9.944,1.28928,MBA
Tesla,C,2.811,0.181,>100 trillion,>100 trillion,9.845,1.3237,MBA
Arenda,Xc,2.731,0.089,>100 trillion,>100 trillion,9.951,1.50948,MBA
Melete,Xk,2.596,0.238,4.63 billion,298.39 million,,0.980357,MBA
Thuringia,Ch,2.748,0.218,>100 trillion,>100 trillion,10.162,1.19208,MBA
Virginia,Ch,2.649,0.286,24.14 billion,1.56 billion,,0.891422,MBA
Polyakhova,L,2.689,0.03,>100 trillion,26.15 trillion,10.072,1.62498,MBA
Monicalazzarin,Ch,2.783,0.157,>100 trillion,>100 trillion,9.894,1.35543,MBA
Fabini,C,2.699,0.083,>100 trillion,>100 trillion,10.089,1.48696,MBA
Federer,L,2.734,0.075,>100 trillion,20.63 trillion,9.957,1.51283,MBA
Eurydike,Xk,2.675,0.304,>100 trillion,>100 trillion,,0.853735,MBA
Prokne,C,2.615,0.238,19.23 billion,1.24 billion,,0.985887,MBA
Hugo,C,2.705,0.096,>100 trillion,>100 trillion,10.101,1.46525,MBA
Titania,C,2.698,0.217,>100 trillion,>100 trillion,10.476,1.14601,MBA
Gyptis,C,2.769,0.176,>100 trillion,>100 trillion,10.007,1.28175,MBA
Rockholt,B,2.734,0.356,>100 trillion,18.23 trillion,12.442,0.95351,MBA
Weissman,Cgh,2.666,0.181,>100 trillion,>100 trillion,10.547,1.22851,MBA
Sinzot,C,2.772,0.139,>100 trillion,>100 trillion,9.939,1.41163,MBA
Stobbe,Xc,2.61,0.021,>100 trillion,55.82 trillion,10.587,1.54655,MBA
Sarahill,Ch,2.718,0.065,>100 trillion,>100 trillion,10.045,1.55318,MBA
Hedwig,X,2.651,0.072,>100 trillion,>100 trillion,10.387,1.4416,MBA
Richilde,Xk,2.711,0.118,>100 trillion,>100 trillion,10.162,1.38375,MBA
Mathilde,Cb,2.649,0.263,>100 trillion,57.19 trillion,,0.94468,MBA
Peter,C,2.735,0.09,>100 trillion,>100 trillion,10.029,1.48968,MBA
Sheba,X,2.653,0.179,>100 trillion,>100 trillion,10.728,1.25425,MBA
Aeria,M,2.649,0.096,>100 trillion,>100 trillion,10.469,1.43158,MBA
Lawrence,C,2.757,0.363,>100 trillion,14.56 trillion,12.52,0.924334,MBA
Anyuta,X,2.75,0.123,>100 trillion,16.36 trillion,10.03,1.40391,MBA
Jerome,Ch,2.784,0.161,>100 trillion,>100 trillion,9.982,1.34837,MBA
Sophrosyne,Ch,2.563,0.117,>100 trillion,>100 trillion,,1.31245,MBA
Hirundo,Cgh,2.729,0.194,>100 trillion,>100 trillion,10.307,1.20435,MBA
1991 RN10,L,2.767,0.114,>100 trillion,18.75 trillion,9.97,1.45026,MBA
Tarka,Ch,2.635,0.214,>100 trillion,>100 trillion,11.406,1.16653,MBA
1992 EU,B,2.8,0.38,>100 trillion,9.79 trillion,11.916,0.963948,MBA
Felicitas,Ch,2.696,0.299,>100 trillion,>100 trillion,,0.915348,MBA
Egorov,C,2.75,0.088,>100 trillion,84.28 trillion,10.021,1.51046,MBA
Bauschinger,X,2.731,0.065,>100 trillion,56.53 trillion,10.068,1.54943,MBA
Diana,Ch,2.619,0.207,10.95 billion,706.10 million,,1.0957,MBA
Slipher,C,2.748,0.088,>100 trillion,>100 trillion,10.033,1.5009,MBA
Radcliffe,X,2.749,0.076,>100 trillion,87.62 trillion,10.017,1.53132,MBA
1988 AG,X,2.808,0.169,>100 trillion,11.29 trillion,9.971,1.35569,MBA
Svoboda,Xk,2.788,0.155,>100 trillion,92.26 trillion,10.022,1.39177,MBA
Miriam,C,2.662,0.252,>100 trillion,>100 trillion,,0.989341,MBA
Somville,C,2.728,0.088,>100 trillion,>100 trillion,10.144,1.51156,MBA
Roerich,L,2.752,0.067,>100 trillion,42.61 trillion,10.026,1.55103,MBA
Dzus,Ch,2.726,0.201,>100 trillion,>100 trillion,10.452,1.22584,MBA
Rovereto,D,2.799,0.184,1.47 billion,113.55 million,10.004,1.29067,MBA
Crabeels,L,2.741,0.07,>100 trillion,16.66 trillion,10.087,1.53336,MBA
Suevia,Xk,2.798,0.136,>100 trillion,>100 trillion,9.971,1.41916,MBA
Panopaea,Ch,2.616,0.18,37.33 billion,2.41 billion,,1.1631,MBA
Egeria,Ch,2.576,0.085,102.58 billion,6.61 billion,,1.43633,MBA
Beograd,X,2.717,0.046,>100 trillion,>100 trillion,10.178,1.58051,MBA
Vibilia,Ch,2.655,0.235,49.31 billion,3.18 billion,,1.03742,MBA
Wilson,Ch,2.754,0.073,>100 trillion,>100 trillion,10.052,1.53564,MBA
Alku,C,2.673,0.189,>100 trillion,>100 trillion,10.924,1.19996,MBA
Shcherbakovia,C,2.775,0.099,>100 trillion,>100 trillion,10.019,1.48834,MBA
Gunnie,X,2.694,0.091,>100 trillion,>100 trillion,10.378,1.46316,MBA
Sweitzer,Cb,2.698,0.045,>100 trillion,>100 trillion,10.293,1.58923,MBA
Strenua,Xc,2.7,0.039,>100 trillion,>100 trillion,10.283,1.59334,MBA
Aquitania,L,2.741,0.235,>100 trillion,>100 trillion,10.625,1.08997,MBA
Kozlovskij,Cb,2.744,0.063,>100 trillion,81.95 trillion,10.109,1.57327,MBA
Anacostia,L,2.739,0.203,>100 trillion,>100 trillion,10.473,1.23211,MBA
Holda,X,2.732,0.079,>100 trillion,>100 trillion,10.182,1.5126,MBA
Hakone,Xe,2.688,0.119,>100 trillion,>100 trillion,10.503,1.42114,MBA
Vangelis,Cb,2.656,0.217,>100 trillion,22.83 trillion,11.758,1.23021,MBA
Aegina,Ch,2.592,0.106,>100 trillion,>100 trillion,,1.33535,MBA
Klotho,M,2.668,0.257,1.33 billion,85.95 million,,1.03657,MBA
Ate,Ch,2.593,0.103,13.10 billion,844.68 million,,1.34401,MBA
Declercq,Ch,2.785,0.085,>100 trillion,>100 trillion,9.997,1.54814,MBA
1988 TQ4,C,2.783,0.08,>100 trillion,>100 trillion,10.006,1.56211,MBA
Anastasia,L,2.792,0.138,>100 trillion,>100 trillion,10.054,1.39678,MBA
Fram,C,2.78,0.085,>100 trillion,>100 trillion,10.024,1.54897,MBA
Botolphia,X,2.719,0.07,>100 trillion,>100 trillion,10.279,1.55025,MBA
Freud,Xc,2.766,0.091,>100 trillion,77.99 trillion,10.098,1.49935,MBA
Nonie,B,2.761,0.329,>100 trillion,>100 trillion,12.62,0.997162,MBA
Bogorodskij,Cg,2.754,0.071,>100 trillion,>100 trillion,10.127,1.54203,MBA
Padua,X,2.748,0.071,>100 trillion,>100 trillion,10.153,1.55616,MBA
Massachusetts,X,2.613,0.07,>100 trillion,>100 trillion,11.315,1.44746,MBA
Praxedis,Xk,2.775,0.235,>100 trillion,>100 trillion,10.489,1.1309,MBA
Descartes,C,2.703,0.039,>100 trillion,>100 trillion,10.348,1.6087,MBA
Delia,Ch,2.784,0.085,>100 trillion,>100 trillion,10.032,1.53041,MBA
Koyo,Cb,2.78,0.087,>100 trillion,>100 trillion,10.051,1.54052,MBA
Coppelia,Xe,2.659,0.076,>100 trillion,45.39 trillion,10.734,1.50174,MBA
Kiso,T,2.759,0.059,33.01 billion,2.53 billion,10.109,1.58101,MBA
Atalante,C,2.747,0.305,37.24 billion,2.40 billion,,0.959267,MBA
Lumen,Ch,2.664,0.215,71.13 billion,4.59 billion,,1.11774,MBA
Io,B,2.652,0.195,19.54 billion,1.26 billion,,1.1514,MBA
Nanon,Xk,2.712,0.066,>100 trillion,>100 trillion,10.364,1.53101,MBA
Aoba,C,2.751,0.048,>100 trillion,>100 trillion,10.153,1.63823,MBA
Albanese,Xk,2.759,0.073,>100 trillion,>100 trillion,10.144,1.5812,MBA
Bogoslovskij,Cgh,2.739,0.159,>100 trillion,90.74 trillion,10.429,1.32081,MBA
Shimizu,X,2.769,0.142,>100 trillion,>100 trillion,10.224,1.38849,MBA
Vanadis,C,2.664,0.208,21.27 billion,1.37 billion,,1.12324,MBA
Feodosia,Ch,2.733,0.181,>100 trillion,>100 trillion,10.571,1.228,MBA
Apollonia,Ch,2.877,0.153,>100 trillion,>100 trillion,9.87,1.45296,MBA
Postrema,B,2.738,0.204,>100 trillion,>100 trillion,10.672,1.21846,MBA
Brita,Xk,2.804,0.109,>100 trillion,>100 trillion,10.039,1.51579,MBA
Maja,Ch,2.646,0.173,>100 trillion,>100 trillion,,1.1999,MBA
Estonia,Xc,2.767,0.07,>100 trillion,>100 trillion,10.134,1.5737,MBA
Omsk,X,2.797,0.131,>100 trillion,41.56 trillion,10.111,1.43032,MBA
Manas,L,2.739,0.031,>100 trillion,37.39 trillion,10.234,1.65031,MBA
Neva,Ch,2.755,0.095,>100 trillion,>100 trillion,10.232,1.51178,MBA
Erna,P,2.92,0.179,>100 trillion,>100 trillion,9.832,1.39209,MBA
Dike,Xk,2.666,0.195,>100 trillion,>100 trillion,,1.13799,MBA
Wawel,X,2.777,0.066,>100 trillion,79.96 trillion,10.12,1.59983,MBA
Piironen,X,2.719,0.118,>100 trillion,>100 trillion,10.517,1.41683,MBA
1988 CJ,K,2.76,0.041,>100 trillion,>100 trillion,10.185,1.63997,MBA
Aschera,Xc,2.611,0.031,>100 trillion,>100 trillion,,1.54778,MBA
Tornio,T,2.716,0.118,25.67 billion,1.88 billion,10.579,1.45236,MBA
Rhodope,Xe,2.685,0.212,>100 trillion,>100 trillion,,1.16106,MBA
Daguerre,X,2.778,0.099,>100 trillion,86.37 trillion,10.197,1.53338,MBA
Herba,C,2.996,0.323,>100 trillion,>100 trillion,10.085,1.08912,MBA
Lorre,C,2.746,0.276,>100 trillion,>100 trillion,11.944,1.09742,MBA
DuBridge,C,2.729,0.275,>100 trillion,9.26 trillion,13.664,1.12739,MBA
Gondola,X,2.707,0.068,>100 trillion,14.94 trillion,10.565,1.51059,MBA
Varsavia,Xc,2.665,0.189,>100 trillion,>100 trillion,12.966,1.32026,MBA
Zibiturtle,C,2.783,0.045,>100 trillion,>100 trillion,10.158,1.64121,MBA
1990 SU10,Cb,2.79,0.062,>100 trillion,>100 trillion,10.147,1.63066,MBA
Siegma,Xc,2.749,0.035,>100 trillion,62.81 trillion,10.318,1.67497,MBA
Taiwan,C,2.788,0.049,>100 trillion,>100 trillion,10.158,1.66475,MBA
Penelope,X,2.68,0.18,>100 trillion,>100 trillion,,1.18797,MBA
Alex,X,2.785,0.069,>100 trillion,8.83 trillion,10.192,1.61287,MBA
Astrid,C,2.787,0.045,>100 trillion,>100 trillion,10.168,1.64431,MBA
Lamberta,Ch,2.727,0.242,28.06 billion,1.81 billion,,1.06396,MBA
Daphne,Ch,2.76,0.275,54.40 billion,3.51 billion,,1.02633,MBA
Ilsebill,C,2.772,0.083,>100 trillion,>100 trillion,10.288,1.54786,MBA
Tina,X,2.794,0.25,>100 trillion,>100 trillion,10.857,1.14765,MBA
Ianthe,Ch,2.688,0.187,9.89 billion,637.28 million,,1.20184,MBA
Emel'yanov,X,2.744,0.005,>100 trillion,22.12 trillion,10.384,1.71999,MBA
Heiskanen,C,3.163,0.277,>100 trillion,>100 trillion,9.606,1.2756,MBA
Chaumont,X,2.738,0.014,>100 trillion,41.53 trillion,10.421,1.68662,MBA
Divis,X,2.749,0.013,>100 trillion,18.17 trillion,10.359,1.70233,MBA
Lederle,C,2.728,0.132,>100 trillion,>100 trillion,10.727,1.40014,MBA
Northcott,X,2.742,0.016,>100 trillion,68.53 trillion,10.422,1.68413,MBA
Dermott,B,2.799,0.103,>100 trillion,>100 trillion,10.229,1.50758,MBA
Vladimir,B,2.711,0.058,>100 trillion,>100 trillion,10.706,1.59452,MBA
Eukrate,Xc,2.741,0.245,>100 trillion,>100 trillion,,1.15489,MBA
1990 RO1,C,2.79,0.059,>100 trillion,>100 trillion,10.214,1.64423,MBA
Xanthippe,Ch,2.727,0.227,55.95 billion,3.61 billion,,1.10239,MBA
Adeona,Ch,2.675,0.144,13.03 billion,839.44 million,,1.32302,MBA
Podobed,T,2.789,0.041,5.65 billion,428.56 million,10.19,1.68155,MBA
Oceana,M,2.645,0.044,>100 trillion,>100 trillion,,1.52034,MBA
Eugenisis,Ch,2.793,0.059,>100 trillion,>100 trillion,10.225,1.63833,MBA
Hoffmeister,Cb,2.788,0.042,>100 trillion,>100 trillion,10.236,1.65549,MBA
Asterope,K,2.66,0.099,>100 trillion,>100 trillion,,1.39984,MBA
Alexandra,C,2.71,0.197,52.69 billion,3.40 billion,,1.16147,MBA
Jeffbell,Ch,2.791,0.093,>100 trillion,>100 trillion,10.3,1.52982,MBA
Bowman,Xc,2.781,0.032,>100 trillion,91.88 trillion,10.279,1.67835,MBA
Kassandra,Xk,2.679,0.135,>100 trillion,>100 trillion,,1.32601,MBA
Corduba,C,2.802,0.157,>100 trillion,>100 trillion,10.417,1.37923,MBA
Jennabelle,X,2.788,0.138,>100 trillion,12.69 trillion,10.442,1.42858,MBA
Herriot,B,2.786,0.033,>100 trillion,>100 trillion,10.281,1.71395,MBA
Migaic,Xc,2.781,0.067,>100 trillion,37.23 trillion,10.343,1.61949,MBA
Yvonne,C,2.766,0.27,>100 trillion,>100 trillion,13.717,1.15582,MBA
Frigga,Xe,2.668,0.132,1.74 billion,112.37 million,,1.32908,MBA
Angelina,Xe,2.681,0.126,>100 trillion,>100 trillion,,1.36002,MBA
Siwa,Xc,2.734,0.214,>100 trillion,>100 trillion,,1.1329,MBA
Euripides,C,2.782,0.022,>100 trillion,37.29 trillion,10.339,1.74184,MBA
Occidental,L,2.803,0.078,>100 trillion,38.25 trillion,10.306,1.57737,MBA
Isakovskij,C,2.783,0.012,>100 trillion,>100 trillion,10.352,1.73831,MBA
Voronikhin,Ch,2.848,0.185,>100 trillion,>100 trillion,10.372,1.3636,MBA
Winchester,C,3.006,0.339,>100 trillion,>100 trillion,10.423,1.08825,MBA
Ada,X,2.966,0.178,>100 trillion,>100 trillion,9.913,1.45461,MBA
Circe,Ch,2.687,0.106,31.42 billion,2.02 billion,,1.41435,MBA
Bobone,Xe,2.781,0.082,>100 trillion,41.01 trillion,10.5,1.56873,MBA
Ino,Xk,2.743,0.209,6.03 billion,388.52 million,,1.19637,MBA
Bathilde,Xk,2.807,0.08,>100 trillion,>100 trillion,10.359,1.60079,MBA
Haremari,L,2.767,0.149,>100 trillion,>100 trillion,10.888,1.43479,MBA
Irma,Ch,2.774,0.234,>100 trillion,>100 trillion,,1.12827,MBA
Pallas,B,2.772,0.23,1.78 trillion,114.54 billion,,1.23324,MBA
Kalahari,L,2.855,0.144,>100 trillion,>100 trillion,10.278,1.45389,MBA
Ksana,B,2.871,0.33,>100 trillion,43.76 trillion,13.148,1.05815,MBA
Galatea,C,2.783,0.236,52.85 billion,3.40 billion,,1.12443,MBA
Lise,X,2.757,0.072,>100 trillion,>100 trillion,10.771,1.58551,MBA
Elpis,B,2.712,0.119,29.89 billion,1.93 billion,,1.39378,MBA
Phaeo,X,2.781,0.246,1.86 billion,120.08 million,,1.11016,MBA
Mandeville,X,2.737,0.144,>100 trillion,>100 trillion,11.551,1.38819,MBA
Stampfer,X,2.804,0.055,>100 trillion,11.54 trillion,10.425,1.64018,MBA
Kleopatra,Xe,2.794,0.251,4.65 billion,299.54 million,,1.09911,MBA
Deborah,B,2.816,0.05,>100 trillion,>100 trillion,10.367,1.65907,MBA
