name,Type,a (AU) ,e ,Value ($),Est. Profit ($),Δv (km/s),MOID (AU) ,Group
2018 RG14,?,2.607,0.122,0,0,10.033,1.29098,MBA
2018 RF14,?,2.348,0.208,0,0,8.51,0.861028,MBA
2018 RE14,?,2.807,0.168,0,0,9.755,1.343,MBA
2018 RD14,?,2.192,0.228,0,0,7.989,0.690817,MBA
2018 RC14,?,2.212,0.267,0,0,8.129,0.622646,MCA
2018 RB14,?,2.329,0.253,0,0,8.192,0.73796,MBA
2018 RA14,?,2.471,0.169,0,0,10.209,1.05636,MBA
2018 RZ13,?,2.81,0.17,0,0,9.953,1.34518,MBA
2018 RX13,?,3.13,0.269,0,0,10.239,1.29735,MBA
2018 RW13,?,2.4,0.113,0,0,9.306,1.13119,MBA
2018 RV13,?,2.218,0.228,0,0,8.26,0.709558,MBA
2018 RU13,?,2.19,0.238,0,0,8.012,0.680726,MBA
2018 RT13,?,2.261,0.178,0,0,8.599,0.848163,MBA
2018 RS13,?,3.09,0.198,0,0,9.926,1.46723,MBA
2018 RR13,?,2.595,0.269,0,0,9.956,0.889616,MBA
2018 RQ13,?,2.661,0.327,0,0,8.512,0.779733,MBA
2018 RN13,?,2.317,0.105,0,0,9.172,1.07,MBA
2018 RM13,?,3.099,0.068,0,0,10.739,1.87603,MBA
2018 RL13,?,2.569,0.236,0,0,8.934,0.95603,MBA
2018 RK13,?,3.295,0.231,0,0,11.092,1.53045,OMB
2018 RJ13,?,2.152,0.213,0,0,7.954,0.690301,MBA
2018 RH13,?,3.078,0.142,0,0,11.473,1.64953,MBA
2018 RG13,?,2.688,0.312,0,0,8.98,0.855234,MBA
2018 RF13,?,2.376,0.218,0,0,8.535,0.847814,MBA
2018 RE13,?,2.922,0.219,0,0,9.638,1.27098,MBA
2018 RC13,?,2.228,0.185,0,0,8.453,0.808238,MBA
2018 RB13,?,2.282,0.244,0,0,8.197,0.736383,MBA
2018 RA13,?,2.293,0.264,0,0,8.223,0.698606,MBA
2018 RZ12,?,2.645,0.298,0,0,9.332,0.874785,MBA
2018 RY12,?,2.721,0.287,0,0,9.168,0.935319,MBA
2018 RU12,?,2.461,0.142,0,0,9.256,1.11157,MBA
2018 RT12,?,3.147,0.199,0,0,10.427,1.51271,MBA
2018 RS12,?,2.175,0.226,0,0,7.983,0.680792,MBA
2018 RR12,?,2.224,0.217,0,0,8.252,0.747755,MBA
2018 RQ12,?,2.686,0.354,0,0,9.54,0.765023,MBA
2018 RP12,?,2.608,0.262,0,0,9.839,0.914654,MBA
2018 RO12,?,3.188,0.198,0,0,11.289,1.56915,MBA
2018 RN12,?,2.375,0.121,0,0,9.334,1.07086,MBA
2018 RM12,?,2.206,0.258,0,0,8.084,0.6225,MCA
2018 RG12,?,2.389,0.318,0,0,8.735,0.615724,MCA
2018 RF12,?,2.6,0.29,0,0,9.169,0.882895,MBA
2018 RE12,?,3.164,0.232,0,0,10.682,1.42647,MBA
2018 RD12,?,2.681,0.252,0,0,9.641,1.0144,MBA
2018 RB12,?,3.092,0.22,0,0,10.671,1.45162,MBA
2018 RY11,?,2.653,0.253,0,0,9.754,0.974138,MBA
2018 RX11,?,3.233,0.216,0,0,10.838,1.57923,OMB
2018 RR11,?,2.35,0.193,0,0,9.137,0.92048,MBA
2018 RQ11,?,3.01,0.25,0,0,10.291,1.27911,MBA
2018 RP11,?,2.66,0.153,0,0,10.311,1.26638,MBA
2018 RN11,?,3.067,0.302,0,0,10.205,1.1268,MBA
2018 RM11,?,3.139,0.183,0,0,11.158,1.54885,MBA
2018 RH11,?,3.204,0.039,0,0,11.74,2.10238,OMB
2018 RG11,?,3.094,0.252,0,0,10.63,1.36199,MBA
2018 RF11,?,2.541,0.201,0,0,9.621,1.0568,MBA
2018 RD11,?,3.193,0.056,0,0,11.783,2.05131,MBA
2018 RC11,?,2.572,0.259,0,0,9.871,0.919347,MBA
2018 RA11,?,2.716,0.212,0,0,9.986,1.14983,MBA
2018 RZ10,?,2.576,0.163,0,0,9.805,1.16895,MBA
2018 RX10,?,3.162,0.255,0,0,10.768,1.39084,MBA
2018 RW10,?,2.554,0.147,0,0,10.244,1.17729,MBA
2018 RV10,?,2.746,0.203,0,0,10.198,1.22838,MBA
2018 RS10,?,3.157,0.229,0,0,10.736,1.41815,MBA
2018 RR10,?,3.209,0.258,0,0,10.515,1.4138,OMB
2018 RQ10,?,2.731,0.213,0,0,9.909,1.17651,MBA
2018 RO10,?,2.305,0.208,0,0,8.79,0.850481,MBA
2018 RM10,?,3.447,0.145,0,0,11.417,1.97472,OMB
2018 RL10,?,2.383,0.295,0,0,8.635,0.681257,MBA
2018 RJ10,?,2.642,0.232,0,0,9.753,1.02209,MBA
2018 RH10,?,2.574,0.255,0,0,9.469,0.928831,MBA
2018 RG10,?,2.645,0.181,0,0,10.045,1.16122,MBA
2018 RC10,?,1.881,0.061,0,0,10.125,0.808673,IMB
2018 RA10,?,2.566,0.229,0,0,10.405,0.966374,MBA
2018 RZ9,?,3.071,0.21,0,0,10.117,1.45192,MBA
2018 RY9,?,2.453,0.174,0,0,9.366,1.03907,MBA
2018 RX9,?,2.597,0.214,0,0,9.978,1.03039,MBA
2018 RW9,?,1.879,0.059,0,0,10.483,0.796843,IMB
2018 RV9,?,2.226,0.189,0,0,8.481,0.790518,MBA
2018 RU9,?,2.31,0.126,0,0,9.111,1.02163,MBA
2018 RT9,?,2.769,0.237,0,0,9.485,1.1146,MBA
2018 RS9,?,2.272,0.221,0,0,8.265,0.757646,MBA
2018 RO9,?,2.661,0.273,0,0,9.542,0.944824,MBA
2018 RN9,?,2.618,0.23,0,0,8.979,1.0119,MBA
2018 RM9,?,2.265,0.192,0,0,8.6,0.828365,MBA
2018 RL9,?,3.248,0.071,0,0,11.79,2.02788,OMB
2018 RK9,?,2.307,0.213,0,0,8.387,0.810534,MBA
2018 RJ9,?,2.569,0.297,0,0,9.373,0.861504,MBA
2018 RH9,?,3.16,0.094,0,0,11.01,1.86881,MBA
2018 RG9,?,2.568,0.34,0,0,8.936,0.710184,MBA
2018 RF9,?,2.237,0.193,0,0,8.425,0.80373,MBA
2018 RE9,?,2.736,0.058,0,0,10.253,1.58382,MBA
2018 RC9,?,3.158,0.147,0,0,10.968,1.74476,MBA
2018 RB9,?,2.799,0.115,0,0,10.002,1.47729,MBA
2018 RA9,?,3.044,0.064,0,0,11.109,1.86804,MBA
2018 RZ8,?,3.078,0.066,0,0,11.133,1.86208,MBA
2018 RY8,?,3.108,0.126,0,0,10.461,1.73327,MBA
2018 RX8,?,2.32,0.197,0,0,8.659,0.859513,MBA
2018 RW8,?,2.726,0.144,0,0,9.747,1.34498,MBA
2018 RV8,?,2.147,0.182,0,0,8.137,0.752724,MBA
2018 RU8,?,2.259,0.398,0,0,14.399,0.701942,MCA
2018 RT8,?,1.854,0.186,0,0,15.493,0.504716,MCA
2018 RS8,?,4.288,0.567,0,0,12.179,1.09597,OMB
2018 RR8,?,2.617,0.776,0,0,18.372,0.250833,APO
2018 RQ8,?,2.417,0.265,0,0,12.543,0.895537,MBA
2018 RP8,?,0.785,0.515,0,0,11.943,0.132492,ATE
2018 RO8,?,1.453,0.362,0,0,6.574,0.02748,APO
2018 RN8,?,2.55,0.349,0,0,12.432,0.786475,MCA
2018 RM8,?,2.941,0.519,0,0,11.237,0.682323,MCA
2018 RL8,?,2.767,0.388,0,0,10.294,0.845413,MBA
2018 RK8,?,2.577,0.331,0,0,12.67,0.826418,MBA
2018 RJ8,?,2.218,0.33,0,0,7.671,0.474871,MCA
2018 RH8,?,1.902,0.093,0,0,11.006,0.804905,IMB
2018 RG8,?,1.681,0.407,0,0,5.454,0.003575,APO
2018 RF8,?,1.421,0.515,0,0,7.695,0.000889,APO
2018 RE8,?,1.516,0.409,0,0,5.641,0.001418,APO
2018 RD8,?,2.413,0.584,0,0,6.422,0.024442,APO
2018 RC8,?,1.835,0.403,0,0,7.215,0.241112,AMO
2018 RB8,?,1.64,0.325,0,0,6.979,0.251394,AMO
2018 RA8,?,1.791,0.475,0,0,6.035,0.015804,APO
2018 RZ7,?,1.46,0.245,0,0,5.848,0.097266,AMO
2018 RY7,?,1.016,0.147,0,0,7.031,0.09376,APO
2018 RX7,?,2.322,0.525,0,0,6.621,0.114586,AMO
2018 RW7,?,1.614,0.444,0,0,6.148,0.063707,APO
2018 RV7,?,1.635,0.497,0,0,6.141,0.007253,APO
2018 RU7,?,2.75,0.573,0,0,10.042,0.188306,AMO
2018 RT7,?,1.397,0.112,0,0,8.451,0.28484,AMO
2018 RS7,?,2.331,0.503,0,0,6.727,0.158113,AMO
2018 RR7,?,1.707,0.367,0,0,5.773,0.129931,AMO
2018 RQ7,?,2.6,0.362,0,0,11.835,0.841229,MCA
2018 RP7,?,2.616,0.313,0,0,14.141,0.789535,MBA
2018 RO7,?,2.153,0.547,0,0,6.515,0.071784,APO
2018 RN7,?,1.927,0.657,0,0,7.669,0.00103,APO
2018 RM7,?,1.833,0.627,0,0,7.534,0.007096,APO
2018 RL7,?,1.603,0.507,0,0,6.488,0.011498,APO
2018 RK7,?,2.805,0.541,0,0,7.568,0.295027,AMO
2018 RJ7,?,2.671,0.645,0,0,6.837,0.041754,APO (PHA)
2018 RH7,?,0.965,0.276,0,0,12.58,0.15002,ATE
2018 RG7,?,1.461,0.241,0,0,5.175,0.103577,AMO
2018 RF7,?,2.539,0.49,0,0,7.229,0.286876,AMO
2018 RE7,?,1.343,0.385,0,0,6.726,0.01155,APO
2018 RD7,?,1.953,0.478,0,0,5.661,0.009294,AMO
2018 RC7,?,1.363,0.207,0,0,6.645,0.07327,AMO
2018 RB7,?,2.443,0.674,0,0,7.326,0.019238,APO (PHA)
2018 RA7,?,2.096,0.456,0,0,15.279,0.51643,AMO
2018 RZ6,?,1.607,0.441,0,0,6.917,0.026299,APO
2018 RY6,?,2.074,0.628,0,0,7.128,0.028113,APO
2018 RX6,?,2.451,0.58,0,0,6.433,0.036385,AMO
2018 RW6,?,1.884,0.395,0,0,10.964,0.375392,AMO
2018 RV6,?,2.208,0.316,0,0,10.386,0.522403,MCA
2018 RU6,?,2.523,0.442,0,0,8.443,0.432403,MCA
2018 RT6,?,2.654,0.383,0,0,8.421,0.666168,MCA
2018 RS6,?,2.738,0.504,0,0,7.953,0.362591,MCA
2018 RR6,?,2.27,0.35,0,0,11.229,0.480999,MCA
2018 RQ6,?,2.542,0.298,0,0,12.251,0.975253,MBA
2018 RP6,?,2.603,0.353,0,0,8.486,0.689302,MBA
2018 RO6,?,2.32,0.308,0,0,9.903,0.734781,MCA
2018 RN6,?,2.8,0.38,0,0,8.847,0.749003,MBA
2018 RM6,?,3.095,0.459,0,0,10.601,0.833672,MBA
2018 RL6,?,1.087,0.071,0,0,11.462,0.046701,APO
2018 RK6,?,1.382,0.314,0,0,4.816,0.002511,APO
2018 RJ6,?,1.557,0.346,0,0,6.929,0.032877,AMO
2018 RH6,?,0.988,0.229,0,0,5.813,0.012886,ATE
2018 RG6,?,1.767,0.424,0,0,7.32,0.051037,AMO
2018 RF6,?,1.018,0.084,0,0,10.726,0.006282,APO
2018 RE6,?,1.421,0.356,0,0,7.917,0.057638,APO
2018 RD6,?,1.598,0.41,0,0,5.423,0.009337,APO
2018 RC6,?,1.287,0.19,0,0,8.672,0.060098,AMO
2018 RB6,?,1.78,0.552,0,0,6.572,0.003901,APO
2018 RA6,?,2.543,0.656,0,0,6.938,0.01198,APO
2018 RZ5,?,2.88,0.736,0,0,8.549,0.000118,APO
2018 RY5,?,2.351,0.755,0,0,8.905,0.000399,APO
2018 RX5,?,1.589,0.49,0,0,11.451,0.119405,APO
2018 RW5,?,1.686,0.545,0,0,6.608,0.02346,APO
2018 RV5,?,2.27,0.444,0,0,10.975,0.306957,AMO
2018 RU5,?,2.2,0.423,0,0,6.854,0.269015,AMO
2018 RT5,?,1.963,0.511,0,0,5.809,0.004068,APO
2018 RS5,?,2.064,0.633,0,0,7.223,0.030718,APO
2018 RR5,?,1.321,0.244,0,0,4.454,0.017135,APO
2018 RQ5,?,2.163,0.54,0,0,6.545,0.034124,APO
2018 RP5,?,2.342,0.623,0,0,6.773,0.006677,APO
2018 RO5,?,0.992,0.231,0,0,5.836,0.000574,ATE
2018 RN5,?,1.785,0.236,0,0,10.307,0.415426,MCA
2018 RM5,?,2.575,0.442,0,0,8.089,0.441362,MCA
2018 RL5,?,1.83,0.074,0,0,10.506,0.689406,IMB
2018 RK5,?,2.4,0.343,0,0,8.92,0.576527,MCA
2018 RJ5,?,2.578,0.375,0,0,8.838,0.614473,MCA
2018 RH5,?,2.019,0.485,0,0,6.082,0.03417,AMO
2018 RG5,?,1.562,0.394,0,0,5.441,0.005307,APO
2018 RF5,?,2.399,0.583,0,0,6.27,0.001111,APO
2018 RE5,?,2.495,0.663,0,0,7.652,0.001731,APO
2018 RD5,?,1.419,0.288,0,0,5.154,0.011043,APO
2018 RC5,?,2.11,0.509,0,0,6.139,0.078824,AMO
2018 RB5,?,1.666,0.346,0,0,5.567,0.097986,AMO
2018 RA5,?,1.325,0.713,0,0,15.377,0.52977,APO
2018 RZ4,?,2.271,0.555,0,0,6.915,,APO
2018 RY4,?,2.751,0.459,0,0,8.657,0.498782,MCA
2018 RX4,?,1.927,0.052,0,0,10.136,0.811026,IMB
2018 RW4,?,3.074,0.411,0,0,9.934,0.907367,MBA
2018 RV4,?,2.584,0.356,0,0,8.328,0.676366,MCA
2018 RU4,?,2.591,0.365,0,0,10.667,0.840532,MCA
2018 RT4,?,2.592,0.402,0,0,8.043,0.558572,MCA
2018 RS4,?,2.628,0.36,0,0,8.458,0.698511,MBA
2018 RR4,?,2.632,0.621,0,0,6.622,0.002394,APO
2018 RQ4,?,1.607,0.402,0,0,5.155,0.002497,APO
2018 RO4,?,1.141,0.155,0,0,9.956,0.038182,APO
2018 RN4,?,1.604,0.323,0,0,12.675,0.208552,AMO
2018 RM4,?,2.206,0.585,0,0,6.372,0.005975,APO
2018 RL4,?,0.872,0.401,0,0,8.742,0.055359,ATE
2018 RK4,?,2.315,0.412,0,0,9.212,0.439505,MCA
2018 RJ4,?,2.41,0.335,0,0,10.474,0.665705,MCA
2018 RH4,?,2.778,0.37,0,0,9.235,0.795099,MBA
2018 RG4,?,2.642,0.412,0,0,8.306,0.558174,MCA
2018 RF4,?,2.702,0.335,0,0,9.357,0.820328,MBA
2018 RE4,?,1.56,0.347,0,0,5.341,0.015879,AMO
2018 RD4,?,1.544,0.346,0,0,5.116,0.005299,APO
2018 RC4,?,2.54,0.597,0,0,6.584,0.022283,AMO
2018 RB4,?,1.064,0.112,0,0,4.741,0.026482,APO
2018 RA4,?,2.146,0.524,0,0,6.335,0.032032,AMO
2018 RZ3,?,1.408,0.255,0,0,10.059,0.063618,AMO
2018 RY3,?,2.098,0.681,0,0,7.603,0.000362,APO
2018 RX3,?,1.509,0.494,0,0,6.627,0.01846,APO
2018 RW3,?,1.848,0.587,0,0,7.709,0.023424,APO
2018 RV3,?,1.595,0.358,0,0,7.048,0.097075,AMO
2018 RU3,?,0.956,0.252,0,0,6.669,0.06807,ATE
2018 RT3,?,1.417,0.45,0,0,9.923,0.007882,APO
2018 RS3,?,1.498,0.328,0,0,12.479,0.08893,APO
2018 RR3,?,2.158,0.421,0,0,7.099,0.232551,AMO
2018 RQ3,?,2.328,0.349,0,0,8.371,0.552929,MCA
2018 RP3,?,2.141,0.318,0,0,7.543,0.444211,MCA
2018 RO3,?,1.756,0.159,0,0,9.677,0.606681,MCA
2018 RN3,?,2.489,0.403,0,0,7.79,0.490408,MCA
2018 RM3,?,2.63,0.484,0,0,8.04,0.366416,MCA
2018 RL3,?,2.817,0.456,0,0,8.509,0.538606,MCA
2018 RK3,?,2.135,0.496,0,0,6.392,0.064343,AMO
2018 RJ3,?,1.329,0.306,0,0,5.171,0.000694,APO
2018 RH3,?,0.959,0.273,0,0,6.404,0.001151,ATE
2018 RG3,?,2.361,0.564,0,0,6.358,0.022718,AMO
2018 RF3,?,1.505,0.34,0,0,6.236,0.004789,APO
2018 RE3,?,1.326,0.391,0,0,5.805,0.004394,APO
2018 RD3,?,3.045,0.47,0,0,8.34,0.624558,MCA
2018 RC3,?,1.924,0.52,0,0,6.735,0.012097,APO
2018 RB3,?,2.187,0.518,0,0,6.889,0.071657,AMO
2018 RA3,?,1.139,0.169,0,0,13.991,0.067378,APO
2018 RZ2,?,1.287,0.164,0,0,9.918,0.193415,AMO
2018 RY2,?,2.897,0.537,0,0,8.146,0.347852,MCA
2018 RX2,?,2.308,0.37,0,0,7.675,0.455775,MCA
2018 RW2,?,2.238,0.374,0,0,7.31,0.406085,MCA
2018 RV2,?,2.904,0.456,0,0,8.184,0.578426,MCA
2018 RU2,?,1.786,0.058,0,0,9.97,0.692624,IMB
2018 RT2,?,2.574,0.275,0,0,9.33,0.909561,MBA
2018 RS2,?,2.616,0.446,0,0,8.389,0.491717,MCA
2018 RR2,?,21.411,0.641,0,0,15.242,6.69085,CEN
2018 RQ2,?,1.524,0.407,0,0,7.835,0.010448,APO
2018 RP2,?,1.539,0.274,0,0,5.377,0.116146,AMO
2018 RO2,?,2.69,0.524,0,0,7.964,0.273148,AMO
2018 RN2,?,0.882,0.349,0,0,9.429,0.035465,ATE
2018 RM2,?,2.207,0.45,0,0,6.822,0.224178,AMO
2018 RL2,?,2.339,0.47,0,0,7.519,0.238852,AMO
2018 RK2,?,2.511,0.417,0,0,8.668,0.469393,MCA
2018 RJ2,?,2.582,0.38,0,0,12.246,0.678226,MCA
2018 RH2,?,2.671,0.388,0,0,8.619,0.663449,MCA
2018 RG2,?,2.652,0.39,0,0,8.339,0.621257,MCA
2018 RF2,?,1.024,0.34,0,0,7.355,0.009806,APO
2018 RE2,?,1.274,0.232,0,0,5.903,0.001784,APO
2018 RD2,?,0.808,0.311,0,0,8.919,0.011593,ATE
2018 RC2,?,1.24,0.339,0,0,7.093,0.002036,APO
2018 RB2,?,1.378,0.326,0,0,5.563,0.001651,APO
2018 RA2,?,1.502,0.4,0,0,5.67,0.02055,APO
2018 RZ1,?,1.868,0.452,0,0,6.148,0.086846,AMO
2018 RY1,?,0.822,0.339,0,0,8.006,0.000766,ATE
2018 RX1,?,1.473,0.291,0,0,6.089,0.068452,AMO
2018 RW1,?,0.916,0.278,0,0,7.131,0.111002,ATE
2018 RV1,?,2.196,0.502,0,0,6.459,0.091793,AMO
2018 RU1,?,2.052,0.405,0,0,6.861,0.247721,AMO
2018 RT1,?,2.113,0.504,0,0,6.158,0.08916,AMO
2018 RS1,?,2.289,0.544,0,0,6.399,0.045246,AMO
2018 RR1,?,1.075,0.141,0,0,4.4,0.002327,APO
2018 RQ1,?,0.879,0.171,0,0,5.986,0.00828,ATE
2018 RP1,?,1.447,0.338,0,0,5.538,0.039657,APO
2018 RO1,?,1.369,0.351,0,0,6.212,0.010631,APO
2018 RN1,?,1.827,0.502,0,0,6.574,0.008461,APO
2018 RM1,?,2.948,0.525,0,0,8.09,0.399721,MCA
2018 RL1,?,2.617,0.398,0,0,8.209,0.577499,MCA
2018 RK1,?,2.329,0.312,0,0,11.303,0.593884,MCA
2018 RJ1,?,2.735,0.423,0,0,9.187,0.565904,MCA
2018 RH1,?,2.569,0.361,0,0,9.247,0.643066,MCA
2018 RG1,?,2.354,0.28,0,0,8.11,0.695424,MBA
2018 RF1,?,2.699,0.381,0,0,8.662,0.672059,MBA
2018 RE1,?,2.693,0.81,0,0,9.803,0.027629,APO
2018 RD1,?,1.504,0.309,0,0,6.888,0.034029,AMO
2018 RC1,?,1.262,0.169,0,0,4.427,0.042818,AMO
2018 RB1,?,1.119,0.282,0,0,5.721,0.001961,APO
2018 RA1,?,1.142,0.324,0,0,6.383,0.004546,APO
2018 RZ,?,2.523,0.757,0,0,8.521,0.013733,APO
2018 RY,?,1.704,0.476,0,0,7.52,0.01852,APO
2018 RX,?,2.265,0.564,0,0,8.701,0.267611,APO
2018 RW,?,0.894,0.242,0,0,6.288,0.000485,ATE
2018 RV,?,2.676,0.435,0,0,8.155,0.516125,MCA
2018 RU,?,2.507,0.358,0,0,11.834,0.645512,MCA
2018 RT,?,2.6,0.317,0,0,8.521,0.786179,MBA
2018 RS,?,1.962,0.623,0,0,7.11,0.000705,APO
2018 RR,?,1.101,0.178,0,0,6.623,0.004058,APO
2018 RQ,?,2.397,0.629,0,0,6.767,0.015925,APO
2018 RP,?,2.325,0.587,0,0,8.126,0.004729,APO
2018 RO,?,1.817,0.443,0,0,5.49,0.00401,APO
2018 RN,?,2.612,0.615,0,0,6.95,0.003149,APO
2018 RM,?,2.817,0.768,0,0,13.409,0.075111,APO
2018 RL,?,1.859,0.411,0,0,7.791,0.128756,AMO
2018 RK,?,2.587,0.35,0,0,9.24,0.74607,MBA
2018 RJ,?,1.993,0.171,0,0,10.856,0.734916,MCA
2018 RH,?,3.164,0.379,0,0,11.131,1.11333,MBA
2018 RG,?,2.206,0.37,0,0,7.299,0.376122,MCA
2018 RF,?,2.244,0.598,0,0,6.938,0.005834,APO
2018 RE,?,2.228,0.75,0,0,8.427,0.000878,APO
2018 RC,?,0.882,0.219,0,0,6.239,0.000368,ATE
2018 RB,?,1.949,0.732,0,0,8.586,0.024091,APO (PHA)
2018 RA,?,1.883,0.464,0,0,5.691,0.007367,APO
2018 QZ6,?,2.645,0.296,0,0,9.504,0.868248,MBA
2018 QW6,?,3.145,0.183,0,0,12.518,1.5689,MBA
2018 QV6,?,2.98,0.268,0,0,9.673,1.1859,MBA
2018 QU6,?,2.734,0.327,0,0,9.174,0.833624,MBA
2018 QT6,?,3.058,0.163,0,0,11.701,1.60813,MBA
2018 QQ6,?,2.589,0.253,0,0,9.535,0.920402,MBA
2018 QP6,?,2.681,0.18,0,0,10.221,1.2294,MBA
2018 QN6,?,2.329,0.193,0,0,8.525,0.883833,MBA
2018 QM6,?,3.104,0.184,0,0,10.083,1.54489,MBA
2018 QL6,?,3.05,0.061,0,0,10.748,1.8803,MBA
2018 QK6,?,2.546,0.178,0,0,10.063,1.08345,MBA
2018 QJ6,?,2.294,0.221,0,0,8.749,0.77483,MBA
2018 QH6,?,2.369,0.267,0,0,10.285,0.855121,MBA
2018 QG6,?,2.284,0.16,0,0,8.752,0.915456,MBA
2018 QF6,?,2.291,0.246,0,0,8.313,0.721447,MBA
2018 QD6,?,2.195,0.202,0,0,8.244,0.746357,MBA
2018 QC6,?,3.067,0.14,0,0,10.66,1.6481,MBA
2018 QA6,?,3.086,0.114,0,0,13.214,1.79391,MBA
2018 QZ5,?,2.256,0.103,0,0,8.967,1.04046,MBA
2018 QY5,?,2.274,0.167,0,0,8.689,0.883948,MBA
2018 QX5,?,2.7,0.248,0,0,9.494,1.01929,MBA
2018 QW5,?,2.183,0.195,0,0,8.493,0.756213,MBA
2018 QV5,?,3.204,0.278,0,0,10.906,1.37953,OMB
2018 QU5,?,3.227,0.278,0,0,11.707,1.40677,OMB
2018 QT5,?,2.761,0.19,0,0,11.878,1.3593,MBA
2018 QR5,?,2.864,0.078,0,0,10.15,1.64471,MBA
2018 QP5,?,3.061,0.087,0,0,10.407,1.78408,MBA
2018 QO5,?,2.665,0.014,0,0,10.09,1.64513,MBA
2018 QN5,?,3.166,0.113,0,0,11.373,1.80261,MBA
2018 QM5,?,3.042,0.034,0,0,11.002,1.93653,MBA
2018 QL5,?,2.7,0.315,0,0,8.967,0.875429,MBA
2018 QG5,?,2.753,0.221,0,0,9.37,1.14757,MBA
2018 QF5,?,2.774,0.309,0,0,10.465,0.970102,MBA
2018 QE5,?,2.269,0.247,0,0,8.189,0.694189,MBA
2018 QD5,?,2.587,0.256,0,0,9.446,0.922397,MBA
2018 QC5,?,2.765,0.33,0,0,9.917,0.928686,MBA
2018 QB5,?,3.154,0.096,0,0,13.123,1.94454,MBA
2018 QZ4,?,3.234,0.212,0,0,11.163,1.58795,OMB
2018 QW4,?,2.405,0.219,0,0,10.57,0.986758,MBA
2018 QV4,?,2.77,0.185,0,0,11.895,1.37557,MBA
2018 QU4,?,2.619,0.104,0,0,9.588,1.35061,MBA
2018 QT4,?,2.629,0.063,0,0,9.852,1.44779,MBA
2018 QS4,?,2.998,0.092,0,0,10.734,1.72918,MBA
2018 QO4,?,2.377,0.102,0,0,9.196,1.15264,MBA
2018 QN4,?,2.485,0.179,0,0,9.067,1.03062,MBA
2018 QL4,?,3.177,0.268,0,0,10.68,1.34192,MBA
2018 QF4,?,2.732,0.034,0,0,10.877,1.63409,MBA
2018 QD4,?,2.248,0.222,0,0,11.302,0.847683,MBA
2018 QC4,?,1.981,0.08,0,0,10.175,0.836142,IMB
2018 QB4,?,2.392,0.083,0,0,9.283,1.18783,MBA
2018 QA4,?,2.911,0.212,0,0,9.878,1.29835,MBA
2018 QZ3,?,5.119,0.042,0,0,12.893,3.92911,TJN
2018 QV3,?,2.426,0.134,0,0,9.369,1.09886,MBA
2018 QU3,?,3.232,0.091,0,0,10.634,1.92506,OMB
2018 QT3,?,2.784,0.179,0,0,10.526,1.28127,MBA
2018 QR3,?,2.599,0.118,0,0,10.145,1.31764,MBA
2018 QQ3,?,2.649,0.284,0,0,9.567,0.926926,MBA
2018 QP3,?,2.93,0.269,0,0,9.336,1.14454,MBA
2018 QO3,?,2.573,0.154,0,0,9.88,1.1991,MBA
2018 QN3,?,2.172,0.192,0,0,8.232,0.747752,MBA
2018 QM3,?,2.726,0.142,0,0,9.702,1.32672,MBA
2018 QL3,?,2.992,0.284,0,0,9.655,1.13464,MBA
2018 QK3,?,3.103,0.089,0,0,11.218,1.85043,MBA
2018 QJ3,?,2.586,0.146,0,0,9.396,1.21091,MBA
2018 QH3,?,2.687,0.216,0,0,9.183,1.09716,MBA
2018 QG3,?,3.159,0.088,0,0,11.178,1.89761,MBA
2018 QF3,?,2.746,0.3,0,0,8.857,0.907194,MBA
2018 QE3,?,2.797,0.088,0,0,10.034,1.55583,MBA
2018 QC3,?,2.763,0.073,0,0,10.078,1.55115,MBA
2018 QB3,?,2.648,0.104,0,0,10.082,1.409,MBA
2018 QZ2,?,3.082,0.167,0,0,10.075,1.57621,MBA
2018 QY2,?,2.651,0.163,0,0,9.989,1.23635,MBA
2018 QX2,?,2.925,0.042,0,0,10.571,1.81078,MBA
2018 QW2,?,3.246,0.199,0,0,10.604,1.58799,OMB
2018 QU2,?,3.099,0.368,0,0,10.732,1.02153,MBA
2018 QS2,?,2.538,0.182,0,0,10.026,1.07255,MBA
2018 QR2,?,2.331,0.287,0,0,8.68,0.687216,MCA
2018 QQ2,?,2.735,0.29,0,0,10.695,0.947271,MBA
2018 QP2,?,2.784,0.308,0,0,9.677,0.969567,MBA
2018 QN2,?,2.847,0.319,0,0,11.5,1.04934,MBA
2018 QL2,?,4.027,0.322,0,0,10.295,1.73091,OMB
2018 QK2,?,3.037,0.13,0,0,10.376,1.6649,MBA
2018 QF2,?,3.096,0.188,0,0,9.973,1.51981,MBA
2018 QD2,?,3.182,0.112,0,0,11.521,1.84564,MBA
2018 QC2,?,3.16,0.161,0,0,10.211,1.64051,MBA
2018 QB2,?,2.888,0.052,0,0,10.678,1.73696,MBA
2018 QA2,?,2.772,0.043,0,0,10.168,1.63734,MBA
2018 QY1,?,2.668,0.116,0,0,9.778,1.34245,MBA
2018 QX1,?,2.593,0.119,0,0,10.33,1.27762,MBA
2018 QW1,?,1.034,0.326,0,0,8.49,0.000104,APO
2018 QV1,?,2.284,0.515,0,0,8.91,0.182705,AMO
2018 QU1,?,1.881,0.543,0,0,6.435,0.026241,APO
2018 QT1,?,0.659,0.595,0,0,14.04,0.033202,ATE
2018 QS1,?,0.98,0.142,0,0,10.834,0.001107,ATE
2018 QR1,?,1.432,0.326,0,0,10.573,0.000546,APO
