name,Type,Orbit (AU),e,Value ($),Est. Profit ($),Δv (km/s),Group
Ruvuma,C,2.751,0.212,>100 trillion,>100 trillion,9.703,MBA
Paulharris,C,2.788,0.467,>100 trillion,34.29 trillion,11.27,MCA
Lucidor,C,2.692,0.143,>100 trillion,>100 trillion,9.749,MBA
Bezruc,C,2.666,0.195,>100 trillion,>100 trillion,9.92,MBA
Madeline,D,2.626,0.162,3.65 billion,284.51 million,9.951,MBA
1980 VX1,Ch,2.787,0.207,>100 trillion,83.26 trillion,9.634,MBA
Fortuna,Ch,2.443,0.158,73.89 billion,4.77 billion,,MBA
Nina,X,2.663,0.228,>100 trillion,>100 trillion,10.033,MBA
Harryford,C,2.739,0.198,>100 trillion,>100 trillion,9.735,MBA
Lutetia,Xk,2.435,0.163,1.70 billion,110.03 million,,MBA
Pax,K,2.589,0.31,>100 trillion,>100 trillion,11.077,MBA
Iphigenia,Ch,2.434,0.128,16.98 billion,1.10 billion,,MBA
1992 ST1,Cb,2.79,0.209,>100 trillion,>100 trillion,9.644,MBA
Octavia,X,2.761,0.25,>100 trillion,>100 trillion,9.795,MBA
Soderblom,Ch,2.747,0.149,>100 trillion,>100 trillion,9.656,MBA
Murray,X,2.784,0.196,>100 trillion,63.74 trillion,9.641,MBA
Montague,C,2.569,0.024,>100 trillion,>100 trillion,10.096,MBA
Faina,Ch,2.551,0.153,>100 trillion,>100 trillion,10.389,MBA
Dabu,Ch,2.786,0.215,>100 trillion,>100 trillion,9.676,MBA
Jacqueline,C,2.605,0.079,>100 trillion,>100 trillion,9.997,MBA
1989 BD,C,2.699,0.152,>100 trillion,47.67 trillion,9.788,MBA
Flammario,B,2.736,0.285,>100 trillion,>100 trillion,10.004,MBA
Hurban,Xk,2.726,0.161,>100 trillion,>100 trillion,9.74,MBA
Beatrix,X,2.432,0.082,>100 trillion,>100 trillion,,MBA
1991 PK11,D,2.745,0.177,696.64 million,55.73 million,9.686,MBA
Vala,Xc,2.432,0.068,>100 trillion,>100 trillion,,MBA
Pawlowia,K,2.706,0.112,>100 trillion,>100 trillion,9.748,MBA
Georgia,X,2.727,0.157,>100 trillion,>100 trillion,9.75,MBA
Marceline,Xe,2.786,0.222,>100 trillion,36.74 trillion,9.72,MBA
1987 YH,Ch,2.779,0.203,>100 trillion,>100 trillion,9.707,MBA
Fiducia,C,2.678,0.113,>100 trillion,>100 trillion,9.845,MBA
Tikhov,Cb,2.71,0.149,>100 trillion,>100 trillion,9.805,MBA
Irkutsk,X,2.781,0.168,>100 trillion,>100 trillion,9.666,MBA
Komarov,Ch,2.785,0.191,>100 trillion,>100 trillion,9.695,MBA
Johnpearse,Ch,2.801,0.206,>100 trillion,>100 trillion,9.689,MBA
Janacek,X,2.715,0.112,>100 trillion,9.65 trillion,9.772,MBA
Parks,Ch,2.712,0.399,>100 trillion,8.36 trillion,11.601,MCA
Eva,X,2.632,0.346,>100 trillion,60.10 trillion,,MBA
Arachne,C,2.625,0.07,>100 trillion,>100 trillion,10.044,MBA
Woltjer,Ch,2.785,0.191,>100 trillion,>100 trillion,9.729,MBA
Akan,C,2.796,0.199,>100 trillion,>100 trillion,9.717,MBA
Aspasia,Xc,2.576,0.073,>100 trillion,>100 trillion,10.29,MBA
Antoku,X,2.741,0.146,>100 trillion,58.10 trillion,9.771,MBA
Moira,Ch,2.735,0.159,>100 trillion,>100 trillion,9.82,MBA
Viipuri,C,2.693,0.081,>100 trillion,>100 trillion,9.846,MBA
Grissom,C,2.748,0.163,>100 trillion,>100 trillion,9.795,MBA
Kodaira,B,2.755,0.417,>100 trillion,43.86 trillion,11.709,MCA
Cora,X,2.723,0.215,>100 trillion,>100 trillion,9.996,MBA
Zdenekhorsky,C,2.741,0.128,>100 trillion,>100 trillion,9.78,MBA
Clasien,C,2.774,0.18,>100 trillion,>100 trillion,9.768,MBA
Barks,C,2.721,0.13,>100 trillion,>100 trillion,9.854,MBA
Lobachevskij,L,2.698,0.078,>100 trillion,44.89 trillion,9.871,MBA
Canterbury,Ch,2.79,0.181,>100 trillion,>100 trillion,9.754,MBA
Alsatia,C,2.64,0.162,>100 trillion,>100 trillion,10.247,MBA
Kemi,C,2.773,0.417,>100 trillion,>100 trillion,11.594,MCA
Thirouin,K,2.717,0.093,>100 trillion,61.14 trillion,9.844,MBA
Pia,C,2.693,0.111,>100 trillion,>100 trillion,9.937,MBA
Henan,L,2.699,0.086,>100 trillion,85.45 trillion,9.893,MBA
Scania,K,2.716,0.106,>100 trillion,>100 trillion,9.864,MBA
Haug,C,2.92,0.222,>100 trillion,>100 trillion,9.563,MBA
Notburga,Xc,2.573,0.243,>100 trillion,>100 trillion,11.655,MBA
Gentelec,D,2.74,0.121,525.91 million,41.68 million,9.773,MBA
Kimura,Ch,2.793,0.178,>100 trillion,59.67 trillion,9.764,MBA
Lugano,Ch,2.677,0.136,>100 trillion,>100 trillion,10.05,MBA
Svea,C,2.477,0.025,>100 trillion,>100 trillion,,MBA
Luisa,K,2.774,0.292,>100 trillion,>100 trillion,10.145,MBA
Tetsuya,Ch,2.785,0.173,>100 trillion,>100 trillion,9.782,MBA
Lena,X,2.685,0.148,>100 trillion,>100 trillion,10.055,MBA
Benfranklin,B,2.801,0.194,>100 trillion,>100 trillion,9.783,MBA
Namaqua,X,2.782,0.16,>100 trillion,>100 trillion,9.775,MBA
Lavrov,L,2.73,0.103,>100 trillion,85.51 trillion,9.852,MBA
Charlois,C,2.672,0.148,>100 trillion,>100 trillion,10.14,MBA
Kiladze,L,2.694,0.078,>100 trillion,24.30 trillion,9.954,MBA
Hestia,Xc,2.526,0.172,7.03 billion,453.77 million,,MBA
Delila,B,2.75,0.161,>100 trillion,>100 trillion,9.893,MBA
Albitskij,Ch,2.662,0.133,>100 trillion,>100 trillion,10.167,MBA
Subbotina,Cg,2.787,0.138,>100 trillion,>100 trillion,9.76,MBA
Rimskij-Korsakov,Cb,2.797,0.178,>100 trillion,>100 trillion,9.797,MBA
Lujiaxi,L,2.732,0.104,>100 trillion,>100 trillion,9.871,MBA
Alvarez,B,2.776,0.405,>100 trillion,99.35 trillion,11.704,MCA
Walbeck,Cg,2.785,0.29,>100 trillion,>100 trillion,10.171,MBA
Kennoguchi,Ch,2.792,0.172,>100 trillion,>100 trillion,9.809,MBA
Izu,Ch,2.675,0.16,>100 trillion,>100 trillion,10.197,MBA
Pasteur,C,2.694,0.116,>100 trillion,>100 trillion,10.033,MBA
Sonneberga,X,2.682,0.06,>100 trillion,>100 trillion,10.014,MBA
MIT,Ch,2.682,0.14,>100 trillion,>100 trillion,10.122,MBA
Melanie,C,2.698,0.14,>100 trillion,>100 trillion,10.066,MBA
Karl Marx,C,2.797,0.181,>100 trillion,>100 trillion,9.826,MBA
Demokritos,Ch,2.796,0.167,>100 trillion,>100 trillion,9.807,MBA
Julia,K,2.55,0.185,45.43 billion,2.93 billion,,MBA
Euryanthe,Cb,2.727,0.15,>100 trillion,>100 trillion,10.008,MBA
Whitehouse,Cg,2.8,0.152,>100 trillion,82.76 trillion,9.792,MBA
Gunma,Ch,2.785,0.167,>100 trillion,>100 trillion,9.856,MBA
Megaira,C,2.8,0.206,>100 trillion,>100 trillion,9.892,MBA
Vinifera,X,2.618,0.206,>100 trillion,>100 trillion,10.895,MBA
Russia,C,2.552,0.175,>100 trillion,>100 trillion,,MBA
Okadanoboru,Cgh,2.698,0.192,>100 trillion,>100 trillion,10.244,MBA
Sumeria,Ch,2.781,0.158,>100 trillion,>100 trillion,9.86,MBA
Dudu,Xc,2.746,0.278,>100 trillion,>100 trillion,10.373,MBA
Campania,Ch,2.689,0.078,>100 trillion,>100 trillion,10.063,MBA
Elba,Xc,2.736,0.142,>100 trillion,45.22 trillion,10,MBA
Emita,Ch,2.741,0.157,>100 trillion,>100 trillion,10.012,MBA
1988 FF,Ch,2.769,0.168,>100 trillion,>100 trillion,9.944,MBA
Tesla,C,2.811,0.181,>100 trillion,>100 trillion,9.845,MBA
Arenda,Xc,2.731,0.089,>100 trillion,>100 trillion,9.951,MBA
Melete,Xk,2.596,0.238,4.63 billion,298.39 million,,MBA
Thuringia,Ch,2.748,0.218,>100 trillion,>100 trillion,10.162,MBA
Virginia,Ch,2.649,0.286,24.14 billion,1.56 billion,,MBA
Polyakhova,L,2.689,0.03,>100 trillion,26.15 trillion,10.072,MBA
Monicalazzarin,Ch,2.783,0.157,>100 trillion,>100 trillion,9.894,MBA
Fabini,C,2.699,0.083,>100 trillion,>100 trillion,10.089,MBA
Federer,L,2.734,0.075,>100 trillion,20.63 trillion,9.957,MBA
Eurydike,Xk,2.675,0.304,>100 trillion,>100 trillion,,MBA
Prokne,C,2.615,0.238,19.23 billion,1.24 billion,,MBA
Hugo,C,2.705,0.096,>100 trillion,>100 trillion,10.101,MBA
Titania,C,2.698,0.217,>100 trillion,>100 trillion,10.476,MBA
Gyptis,C,2.769,0.176,>100 trillion,>100 trillion,10.007,MBA
Rockholt,B,2.734,0.356,>100 trillion,18.23 trillion,12.442,MBA
Weissman,Cgh,2.666,0.181,>100 trillion,>100 trillion,10.547,MBA
Sinzot,C,2.772,0.139,>100 trillion,>100 trillion,9.939,MBA
Stobbe,Xc,2.61,0.021,>100 trillion,55.82 trillion,10.587,MBA
Sarahill,Ch,2.718,0.065,>100 trillion,>100 trillion,10.045,MBA
Hedwig,X,2.651,0.072,>100 trillion,>100 trillion,10.387,MBA
Richilde,Xk,2.711,0.118,>100 trillion,>100 trillion,10.162,MBA
Mathilde,Cb,2.649,0.263,>100 trillion,57.19 trillion,,MBA
Peter,C,2.735,0.09,>100 trillion,>100 trillion,10.029,MBA
Sheba,X,2.653,0.179,>100 trillion,>100 trillion,10.728,MBA
Aeria,M,2.649,0.096,>100 trillion,>100 trillion,10.469,MBA
Lawrence,C,2.757,0.363,>100 trillion,14.56 trillion,12.52,MBA
Anyuta,X,2.75,0.123,>100 trillion,16.36 trillion,10.03,MBA
Jerome,Ch,2.784,0.161,>100 trillion,>100 trillion,9.982,MBA
Sophrosyne,Ch,2.563,0.117,>100 trillion,>100 trillion,,MBA
Hirundo,Cgh,2.729,0.194,>100 trillion,>100 trillion,10.307,MBA
1991 RN10,L,2.767,0.114,>100 trillion,18.75 trillion,9.97,MBA
Tarka,Ch,2.635,0.214,>100 trillion,>100 trillion,11.406,MBA
1992 EU,B,2.8,0.38,>100 trillion,9.79 trillion,11.916,MBA
Felicitas,Ch,2.696,0.299,>100 trillion,>100 trillion,,MBA
Egorov,C,2.75,0.088,>100 trillion,84.28 trillion,10.021,MBA
Bauschinger,X,2.731,0.065,>100 trillion,56.53 trillion,10.068,MBA
Diana,Ch,2.619,0.207,10.95 billion,706.10 million,,MBA
Slipher,C,2.748,0.088,>100 trillion,>100 trillion,10.033,MBA
Radcliffe,X,2.749,0.076,>100 trillion,87.62 trillion,10.017,MBA
1988 AG,X,2.808,0.169,>100 trillion,11.29 trillion,9.971,MBA
Svoboda,Xk,2.788,0.155,>100 trillion,92.26 trillion,10.022,MBA
Miriam,C,2.662,0.252,>100 trillion,>100 trillion,,MBA
Somville,C,2.728,0.088,>100 trillion,>100 trillion,10.144,MBA
Roerich,L,2.752,0.067,>100 trillion,42.61 trillion,10.026,MBA
Dzus,Ch,2.726,0.201,>100 trillion,>100 trillion,10.452,MBA
Rovereto,D,2.799,0.184,1.47 billion,113.55 million,10.004,MBA
Crabeels,L,2.741,0.07,>100 trillion,16.66 trillion,10.087,MBA
Suevia,Xk,2.798,0.136,>100 trillion,>100 trillion,9.971,MBA
Panopaea,Ch,2.616,0.18,37.33 billion,2.41 billion,,MBA
Egeria,Ch,2.576,0.085,102.58 billion,6.61 billion,,MBA
Beograd,X,2.717,0.046,>100 trillion,>100 trillion,10.178,MBA
Vibilia,Ch,2.655,0.235,49.31 billion,3.18 billion,,MBA
Wilson,Ch,2.754,0.073,>100 trillion,>100 trillion,10.052,MBA
Alku,C,2.673,0.189,>100 trillion,>100 trillion,10.924,MBA
Shcherbakovia,C,2.775,0.099,>100 trillion,>100 trillion,10.019,MBA
Gunnie,X,2.694,0.091,>100 trillion,>100 trillion,10.378,MBA
Sweitzer,Cb,2.698,0.045,>100 trillion,>100 trillion,10.293,MBA
Strenua,Xc,2.7,0.039,>100 trillion,>100 trillion,10.283,MBA
Aquitania,L,2.741,0.235,>100 trillion,>100 trillion,10.625,MBA
Kozlovskij,Cb,2.744,0.063,>100 trillion,81.95 trillion,10.109,MBA
Anacostia,L,2.739,0.203,>100 trillion,>100 trillion,10.473,MBA
Holda,X,2.732,0.079,>100 trillion,>100 trillion,10.182,MBA
Hakone,Xe,2.688,0.119,>100 trillion,>100 trillion,10.503,MBA
Vangelis,Cb,2.656,0.217,>100 trillion,22.83 trillion,11.758,MBA
Aegina,Ch,2.592,0.106,>100 trillion,>100 trillion,,MBA
Klotho,M,2.668,0.257,1.33 billion,85.95 million,,MBA
Ate,Ch,2.593,0.103,13.10 billion,844.68 million,,MBA
Declercq,Ch,2.785,0.085,>100 trillion,>100 trillion,9.997,MBA
1988 TQ4,C,2.783,0.08,>100 trillion,>100 trillion,10.006,MBA
Anastasia,L,2.792,0.138,>100 trillion,>100 trillion,10.054,MBA
Fram,C,2.78,0.085,>100 trillion,>100 trillion,10.024,MBA
Botolphia,X,2.719,0.07,>100 trillion,>100 trillion,10.279,MBA
Freud,Xc,2.766,0.091,>100 trillion,77.99 trillion,10.098,MBA
Nonie,B,2.761,0.329,>100 trillion,>100 trillion,12.62,MBA
Bogorodskij,Cg,2.754,0.071,>100 trillion,>100 trillion,10.127,MBA
Padua,X,2.748,0.071,>100 trillion,>100 trillion,10.153,MBA
Massachusetts,X,2.613,0.07,>100 trillion,>100 trillion,11.315,MBA
Praxedis,Xk,2.775,0.235,>100 trillion,>100 trillion,10.489,MBA
Descartes,C,2.703,0.039,>100 trillion,>100 trillion,10.348,MBA
Delia,Ch,2.784,0.085,>100 trillion,>100 trillion,10.032,MBA
Koyo,Cb,2.78,0.087,>100 trillion,>100 trillion,10.051,MBA
Coppelia,Xe,2.659,0.076,>100 trillion,45.39 trillion,10.734,MBA
Kiso,T,2.759,0.059,33.01 billion,2.53 billion,10.109,MBA
Atalante,C,2.747,0.305,37.24 billion,2.40 billion,,MBA
Lumen,Ch,2.664,0.215,71.13 billion,4.59 billion,,MBA
Io,B,2.652,0.195,19.54 billion,1.26 billion,,MBA
Nanon,Xk,2.712,0.066,>100 trillion,>100 trillion,10.364,MBA
Aoba,C,2.751,0.048,>100 trillion,>100 trillion,10.153,MBA
Albanese,Xk,2.759,0.073,>100 trillion,>100 trillion,10.144,MBA
Bogoslovskij,Cgh,2.739,0.159,>100 trillion,90.74 trillion,10.429,MBA
Shimizu,X,2.769,0.142,>100 trillion,>100 trillion,10.224,MBA
Vanadis,C,2.664,0.208,21.27 billion,1.37 billion,,MBA
Feodosia,Ch,2.733,0.181,>100 trillion,>100 trillion,10.571,MBA
Apollonia,Ch,2.877,0.153,>100 trillion,>100 trillion,9.87,MBA
Postrema,B,2.738,0.204,>100 trillion,>100 trillion,10.672,MBA
Brita,Xk,2.804,0.109,>100 trillion,>100 trillion,10.039,MBA
Maja,Ch,2.646,0.173,>100 trillion,>100 trillion,,MBA
Estonia,Xc,2.767,0.07,>100 trillion,>100 trillion,10.134,MBA
Omsk,X,2.797,0.131,>100 trillion,41.56 trillion,10.111,MBA
Manas,L,2.739,0.031,>100 trillion,37.39 trillion,10.234,MBA
Neva,Ch,2.755,0.095,>100 trillion,>100 trillion,10.232,MBA
Erna,P,2.92,0.179,>100 trillion,>100 trillion,9.832,MBA
Dike,Xk,2.666,0.195,>100 trillion,>100 trillion,,MBA
Wawel,X,2.777,0.066,>100 trillion,79.96 trillion,10.12,MBA
Piironen,X,2.719,0.118,>100 trillion,>100 trillion,10.517,MBA
1988 CJ,K,2.76,0.041,>100 trillion,>100 trillion,10.185,MBA
Aschera,Xc,2.611,0.031,>100 trillion,>100 trillion,,MBA
Tornio,T,2.716,0.118,25.67 billion,1.88 billion,10.579,MBA
Rhodope,Xe,2.685,0.212,>100 trillion,>100 trillion,,MBA
Daguerre,X,2.778,0.099,>100 trillion,86.37 trillion,10.197,MBA
Herba,C,2.996,0.323,>100 trillion,>100 trillion,10.085,MBA
Lorre,C,2.746,0.276,>100 trillion,>100 trillion,11.944,MBA
DuBridge,C,2.729,0.275,>100 trillion,9.26 trillion,13.664,MBA
Gondola,X,2.707,0.068,>100 trillion,14.94 trillion,10.565,MBA
Varsavia,Xc,2.665,0.189,>100 trillion,>100 trillion,12.966,MBA
Zibiturtle,C,2.783,0.045,>100 trillion,>100 trillion,10.158,MBA
1990 SU10,Cb,2.79,0.062,>100 trillion,>100 trillion,10.147,MBA
Siegma,Xc,2.749,0.035,>100 trillion,62.81 trillion,10.318,MBA
Taiwan,C,2.788,0.049,>100 trillion,>100 trillion,10.158,MBA
Penelope,X,2.68,0.18,>100 trillion,>100 trillion,,MBA
Alex,X,2.785,0.069,>100 trillion,8.83 trillion,10.192,MBA
Astrid,C,2.787,0.045,>100 trillion,>100 trillion,10.168,MBA
Lamberta,Ch,2.727,0.242,28.06 billion,1.81 billion,,MBA
Daphne,Ch,2.76,0.275,54.40 billion,3.51 billion,,MBA
Ilsebill,C,2.772,0.083,>100 trillion,>100 trillion,10.288,MBA
Tina,X,2.794,0.25,>100 trillion,>100 trillion,10.857,MBA
Ianthe,Ch,2.688,0.187,9.89 billion,637.28 million,,MBA
Emel'yanov,X,2.744,0.005,>100 trillion,22.12 trillion,10.384,MBA
Heiskanen,C,3.163,0.277,>100 trillion,>100 trillion,9.606,MBA
Chaumont,X,2.738,0.014,>100 trillion,41.53 trillion,10.421,MBA
Divis,X,2.749,0.013,>100 trillion,18.17 trillion,10.359,MBA
Lederle,C,2.728,0.132,>100 trillion,>100 trillion,10.727,MBA
Northcott,X,2.742,0.016,>100 trillion,68.53 trillion,10.422,MBA
Dermott,B,2.799,0.103,>100 trillion,>100 trillion,10.229,MBA
Vladimir,B,2.711,0.058,>100 trillion,>100 trillion,10.706,MBA
Eukrate,Xc,2.741,0.245,>100 trillion,>100 trillion,,MBA
1990 RO1,C,2.79,0.059,>100 trillion,>100 trillion,10.214,MBA
Xanthippe,Ch,2.727,0.227,55.95 billion,3.61 billion,,MBA
Adeona,Ch,2.675,0.144,13.03 billion,839.44 million,,MBA
Podobed,T,2.789,0.041,5.65 billion,428.56 million,10.19,MBA
Oceana,M,2.645,0.044,>100 trillion,>100 trillion,,MBA
Eugenisis,Ch,2.793,0.059,>100 trillion,>100 trillion,10.225,MBA
Hoffmeister,Cb,2.788,0.042,>100 trillion,>100 trillion,10.236,MBA
Asterope,K,2.66,0.099,>100 trillion,>100 trillion,,MBA
Alexandra,C,2.71,0.197,52.69 billion,3.40 billion,,MBA
Jeffbell,Ch,2.791,0.093,>100 trillion,>100 trillion,10.3,MBA
Bowman,Xc,2.781,0.032,>100 trillion,91.88 trillion,10.279,MBA
Kassandra,Xk,2.679,0.135,>100 trillion,>100 trillion,,MBA
Corduba,C,2.802,0.157,>100 trillion,>100 trillion,10.417,MBA
Jennabelle,X,2.788,0.138,>100 trillion,12.69 trillion,10.442,MBA
Herriot,B,2.786,0.033,>100 trillion,>100 trillion,10.281,MBA
Migaic,Xc,2.781,0.067,>100 trillion,37.23 trillion,10.343,MBA
Yvonne,C,2.766,0.27,>100 trillion,>100 trillion,13.717,MBA
Frigga,Xe,2.668,0.132,1.74 billion,112.37 million,,MBA
Angelina,Xe,2.681,0.126,>100 trillion,>100 trillion,,MBA
Siwa,Xc,2.734,0.214,>100 trillion,>100 trillion,,MBA
Euripides,C,2.782,0.022,>100 trillion,37.29 trillion,10.339,MBA
Occidental,L,2.803,0.078,>100 trillion,38.25 trillion,10.306,MBA
Isakovskij,C,2.783,0.012,>100 trillion,>100 trillion,10.352,MBA
Voronikhin,Ch,2.848,0.185,>100 trillion,>100 trillion,10.372,MBA
Winchester,C,3.006,0.339,>100 trillion,>100 trillion,10.423,MBA
Ada,X,2.966,0.178,>100 trillion,>100 trillion,9.913,MBA
Circe,Ch,2.687,0.106,31.42 billion,2.02 billion,,MBA
Bobone,Xe,2.781,0.082,>100 trillion,41.01 trillion,10.5,MBA
Ino,Xk,2.743,0.209,6.03 billion,388.52 million,,MBA
Bathilde,Xk,2.807,0.08,>100 trillion,>100 trillion,10.359,MBA
Haremari,L,2.767,0.149,>100 trillion,>100 trillion,10.888,MBA
Irma,Ch,2.774,0.234,>100 trillion,>100 trillion,,MBA
Pallas,B,2.772,0.23,1.78 trillion,114.54 billion,,MBA
Kalahari,L,2.855,0.144,>100 trillion,>100 trillion,10.278,MBA
Ksana,B,2.871,0.33,>100 trillion,43.76 trillion,13.148,MBA
Galatea,C,2.783,0.236,52.85 billion,3.40 billion,,MBA
Lise,X,2.757,0.072,>100 trillion,>100 trillion,10.771,MBA
Elpis,B,2.712,0.119,29.89 billion,1.93 billion,,MBA
Phaeo,X,2.781,0.246,1.86 billion,120.08 million,,MBA
Mandeville,X,2.737,0.144,>100 trillion,>100 trillion,11.551,MBA
Stampfer,X,2.804,0.055,>100 trillion,11.54 trillion,10.425,MBA
Kleopatra,Xe,2.794,0.251,4.65 billion,299.54 million,,MBA
Deborah,B,2.816,0.05,>100 trillion,>100 trillion,10.367,MBA
Hale,Ch,2.87,0.223,>100 trillion,>100 trillion,10.59,MBA
Isabella,Cb,2.722,0.124,29.36 billion,1.89 billion,,MBA
Concordia,Ch,2.7,0.043,>100 trillion,>100 trillion,,MBA
Leda,Cgh,2.739,0.155,49.23 billion,3.17 billion,,MBA
Transvaalia,X,2.768,0.083,>100 trillion,>100 trillion,10.869,MBA
Arkhipova,Xk,2.757,0.079,>100 trillion,>100 trillion,10.992,MBA
Niobe,Xe,2.757,0.173,>100 trillion,>100 trillion,,MBA
Ursina,X,2.797,0.106,>100 trillion,>100 trillion,10.73,MBA
Eunike,C,2.738,0.129,33.29 billion,2.14 billion,,MBA
Eugenia,C,2.721,0.084,50.26 billion,3.24 billion,,MBA
Dynamene,Ch,2.74,0.132,92.25 billion,5.94 billion,,MBA
Lucina,Ch,2.718,0.067,>100 trillion,>100 trillion,,MBA
Kurchenko,Xc,2.768,0.12,>100 trillion,66.18 trillion,11.196,MBA
Fini,C,2.748,0.103,>100 trillion,>100 trillion,11.514,MBA
Lilaea,B,2.753,0.145,>100 trillion,>100 trillion,,MBA
Ingelehmann,Xc,2.744,0.083,>100 trillion,23.26 trillion,11.47,MBA
Thoma,L,2.784,0.136,>100 trillion,76.36 trillion,11.151,MBA
Bavaria,C,2.726,0.067,>100 trillion,>100 trillion,,MBA
Lydia,X,2.731,0.081,>100 trillion,>100 trillion,,MBA
Una,C,2.728,0.067,>100 trillion,>100 trillion,,MBA
Frieden,C,2.787,0.081,>100 trillion,>100 trillion,10.863,MBA
Elisabetha,C,2.763,0.043,>100 trillion,>100 trillion,11.053,MBA
Marcelle,Cg,2.784,0.006,>100 trillion,>100 trillion,10.785,MBA
Orlov,K,2.926,0.12,>100 trillion,>100 trillion,10.123,MBA
Nemesis,C,2.75,0.127,61.31 billion,3.95 billion,,MBA
Sapientia,C,2.77,0.164,>100 trillion,>100 trillion,,MBA
Minerva,C,2.756,0.139,30.17 billion,1.94 billion,,MBA
Thisbe,B,2.769,0.162,117.40 billion,7.56 billion,,MBA
Watsonia,L,2.759,0.098,>100 trillion,>100 trillion,11.392,MBA
Pandora,X,2.76,0.143,>100 trillion,>100 trillion,,MBA
Hercynia,L,2.993,0.242,>100 trillion,>100 trillion,10.242,MBA
Sechenov,B,2.76,0.164,>100 trillion,>100 trillion,14.839,MBA
Honoria,L,2.797,0.191,>100 trillion,>100 trillion,,MBA
Zerlina,B,2.786,0.197,>100 trillion,>100 trillion,14.177,MBA
Juewa,X,2.782,0.175,6.76 billion,435.22 million,,MBA
Liberatrix,X,2.744,0.078,>100 trillion,>100 trillion,,MBA
Rhoda,Xk,2.803,0.161,>100 trillion,>100 trillion,11.36,MBA
Olympiada,X,2.804,0.175,>100 trillion,>100 trillion,11.544,MBA
Senrikyu,B,2.765,0.157,>100 trillion,>100 trillion,14.343,MBA
Anneliese,Ch,2.926,0.154,>100 trillion,>100 trillion,10.271,MBA
Hersilia,C,2.741,0.038,>100 trillion,>100 trillion,,MBA
Mombasa,Xc,2.811,0.141,>100 trillion,>100 trillion,11.121,MBA
Sholokhov,L,2.79,0.117,>100 trillion,>100 trillion,11.274,MBA
Polyxo,T,2.75,0.041,2.30 trillion,148.33 billion,,MBA
Johanna,Ch,2.755,0.067,26.55 billion,1.71 billion,,MBA
Hispania,C,2.839,0.14,>100 trillion,>100 trillion,10.889,MBA
Adria,Xc,2.76,0.074,>100 trillion,>100 trillion,,MBA
Cornelia,C,2.887,0.06,>100 trillion,>100 trillion,10.343,MBA
Toni,X,2.941,0.154,>100 trillion,>100 trillion,10.278,MBA
Palomaa,Xk,2.788,0.079,>100 trillion,>100 trillion,11.296,MBA
Ortrud,C,2.968,0.122,>100 trillion,>100 trillion,10.104,MBA
Ioffe,B,2.775,0.143,>100 trillion,>100 trillion,14.647,MBA
Seraphina,P,2.9,0.131,>100 trillion,>100 trillion,10.453,MBA
Tirza,D,2.775,0.099,36.48 billion,2.35 billion,,MBA
Ceres,C,2.769,0.076,8.12 trillion,522.92 billion,,MBA
Siri,Xk,2.773,0.088,>100 trillion,>100 trillion,,MBA
Aline,Ch,2.807,0.154,35.78 billion,2.30 billion,,MBA
Paeonia,C,3.123,0.216,>100 trillion,>100 trillion,9.895,MBA
Terpsichore,Cb,2.854,0.211,53.29 billion,3.43 billion,,MBA
Martha,Ch,2.778,0.036,>100 trillion,>100 trillion,,MBA
Erida,X,3.057,0.199,>100 trillion,>100 trillion,10.071,MBA
Sayama,X,2.851,0.131,>100 trillion,46.95 trillion,11.044,MBA
Antonia,X,2.78,0.027,>100 trillion,>100 trillion,,MBA
Wilhelmina,Ch,2.882,0.141,>100 trillion,>100 trillion,10.807,MBA
Don Quixote,D,4.259,0.709,1.42 billion,92.38 million,11.914,AMO
Pannekoek,Cgh,2.889,0.143,>100 trillion,>100 trillion,10.8,MBA
Charis,X,2.901,0.058,>100 trillion,>100 trillion,10.493,MBA
Lucifer,Cgh,2.899,0.142,>100 trillion,>100 trillion,10.796,MBA
Solvejg,B,3.098,0.191,>100 trillion,>100 trillion,10.003,MBA
Antigone,X,2.869,0.212,2.73 billion,175.45 million,,MBA
Burns,B,3.081,0.178,>100 trillion,>100 trillion,10.037,MBA
Raybatson,X,2.85,0.097,>100 trillion,68.08 trillion,11.258,MBA
Terentia,Ch,2.932,0.115,>100 trillion,>100 trillion,10.531,MBA
Haidea,D,3.075,0.201,69.07 billion,5.26 billion,10.144,MBA
Onnetoh,X,2.867,0.13,>100 trillion,18.12 trillion,11.328,MBA
Scheila,T,2.929,0.163,4.42 trillion,315.73 billion,10.802,MBA
Ginevra,P,2.922,0.058,>100 trillion,>100 trillion,10.607,MBA
Budrosa,Xk,2.911,0.022,>100 trillion,>100 trillion,10.645,MBA
Irmintraud,T,2.858,0.079,834.99 billion,56.48 billion,11.415,MBA
Carmen,M,2.907,0.043,>100 trillion,>100 trillion,10.707,MBA
Letaba,C,2.866,0.155,>100 trillion,>100 trillion,12.469,MBA
Siegena,C,2.9,0.169,>100 trillion,>100 trillion,11.557,MBA
Bardwell,B,3.118,0.182,>100 trillion,>100 trillion,10.044,MBA
Kriemhild,Xc,2.861,0.122,>100 trillion,>100 trillion,,MBA
Pickeringia,C,3.097,0.243,>100 trillion,>100 trillion,10.34,MBA
Konkolya,C,3.119,0.182,>100 trillion,>100 trillion,10.055,MBA
Beruti,C,3.088,0.161,>100 trillion,>100 trillion,10.105,MBA
